8192 3
0.626551 1.583101 1.154796
0.059831 0.756409 0.947152
-0.079030 1.458307 0.317836
-0.159575 1.319571 0.624050
0.163673 0.590730 -0.029199
-0.108148 2.054412 0.408217
0.283760 1.962781 0.879967
1.073855 1.508042 0.630468
1.067936 1.688630 0.117493
0.815337 0.491831 0.747422
-0.397362 1.218433 0.019330
-0.090534 1.596328 -0.182932
0.439513 1.182212 0.098744
0.923922 0.791480 1.118534
0.775049 1.378897 0.780642
-0.423870 1.871933 0.634437
0.843529 1.726340 -0.150328
-0.311211 0.624738 0.834224
0.367493 0.507415 0.250458
0.938506 1.370089 0.321927
-0.013486 1.659457 0.824224
0.481218 1.852457 0.207837
-0.124876 0.628613 -0.002157
-0.233476 1.286482 1.281121
0.293569 1.167777 0.641109
0.283344 1.880314 0.549969
0.830392 1.710087 0.447765
0.248359 1.432920 1.086752
0.436168 0.569676 0.139942
0.637800 1.086672 1.022515
0.114408 1.409680 0.808152
-0.017293 1.661166 -0.152970
0.404889 1.263712 0.345990
0.130262 0.540578 0.179108
-0.073723 1.323108 0.322346
0.137888 0.783382 0.742964
0.370426 0.955809 0.899408
0.672986 1.714516 -0.175439
0.621925 1.763842 0.334332
0.999887 1.249441 0.308746
0.237480 0.951256 -0.078596
0.785265 1.080087 1.101584
-0.304708 1.997620 0.193578
-0.178151 1.665737 0.737868
1.187250 1.886759 0.175486
0.907070 1.742386 0.165790
0.940038 1.701680 0.119307
1.009505 1.279263 0.584916
-0.424682 1.241696 -0.093199
0.820297 1.111875 0.868673
-0.122478 1.733948 -0.191340
-0.053561 0.935761 1.298297
-0.179012 0.878394 0.682691
-0.097460 0.995579 1.150822
1.154971 2.023383 0.043299
-0.340615 0.488575 0.403969
0.550180 0.514824 0.308304
-0.037089 1.593247 1.122675
1.023637 1.182944 0.584521
0.545430 1.405629 0.462434
-0.411007 0.988534 0.729659
-0.304530 1.067134 1.186357
1.077816 1.797428 -0.036669
0.017020 1.355657 1.089882
0.428300 1.926649 0.193717
0.780521 2.064784 0.578668
-0.043556 0.819849 0.367980
-0.496467 1.494463 1.001534
0.333917 1.730107 0.172368
-0.047879 1.135998 1.256883
0.012155 1.155324 0.222849
-0.088536 1.418715 -0.224561
0.499749 0.921440 0.865731
0.606044 1.174794 0.333174
-0.134822 0.532208 0.932835
0.734625 1.773693 0.899995
-0.115779 0.679259 -0.072978
0.400534 2.063836 0.724325
0.516023 1.545805 1.017835
0.035728 0.939368 0.313496
-0.310347 2.079313 0.848137
0.994333 1.361427 1.282029
0.111447 0.742621 0.918138
0.021210 1.304213 0.849103
0.181878 1.782752 0.387298
0.039315 1.744971 1.103041
0.526135 1.517460 0.832066
-0.211827 0.482634 1.080234
-0.316241 1.243289 1.278811
0.928158 0.580054 0.743052
0.187461 1.394352 0.580607
0.501098 1.956117 0.820207
0.316798 1.927483 1.099386
0.406182 1.772916 -0.234946
0.416321 1.303819 0.538474
-0.072704 1.242018 -0.149305
0.617480 1.286957 -0.002404
0.289960 1.984849 0.597716
-0.357497 0.632084 0.688980
-0.317878 0.727104 -0.078152
-0.391594 0.664940 1.058039
-0.008369 1.907927 1.004016
-0.084909 1.914994 -0.212410
0.928668 1.792235 1.226005
-0.248572 1.908684 0.141840
0.959032 1.618263 -0.204569
0.017766 0.458738 0.953438
0.990793 1.349002 0.843463
0.319032 0.517588 0.192809
-0.360571 1.347133 1.132476
-0.386083 1.918452 0.404477
-0.160038 1.038224 0.075701
1.181505 1.774990 0.871525
0.188052 1.379669 1.311589
0.916890 0.833411 0.558075
0.638290 1.427560 0.797213
0.848484 1.188810 0.854854
0.576396 1.190025 0.031578
0.887466 1.980252 0.888113
1.148359 1.916934 -0.264953
0.394440 1.573977 1.112090
0.498333 0.683701 1.345239
0.384636 0.461202 0.259828
0.155102 1.079094 0.808599
1.187495 1.965588 0.648117
0.101224 1.150612 -0.100638
0.541920 0.914885 0.024331
0.612461 1.463570 -0.042304
0.909414 1.305635 0.644600
-0.147878 0.517173 0.332413
0.496470 0.628787 -0.122631
0.604493 1.457527 -0.249344
-0.236842 1.186004 -0.096593
