-8.5082000000000002e-01 -2.1301400000000001e-01 2.5934200000000002e-01  -2.4754762687743899e+00 -4.3114466067242513e-01 -1.3234371238531288e+00 2.0497773431469906e+00 1.2891357874251168e+00 -7.0116364127137099e-01
-9.2776999999999998e-01 -2.4916300000000000e-01 9.4031000000000003e-02  -1.8459490992968426e+00 -3.6815688327839789e-02 -1.0095848302768335e+00 2.8428484119492667e+00 2.2970568466944337e+00 5.8344369060690005e-01
-3.4041100000000002e-01 2.3234600000000000e-01 1.0257959999999999e+00  -2.1262491732819226e+00 1.6578488117385874e+00 5.3928859892870129e+00 -3.1338786031046153e+00 3.9307411865669502e+00 -2.1822857747630580e+00
3.7143700000000002e-01 -6.8864499999999995e-01 5.0310200000000005e-01  -5.4677907262909553e+00 -1.2147630585592835e+00 1.4254319201865899e+00 5.6898712390656792e-01 2.9416056182712995e+00 -1.7752478331270525e+00
-1.1056750000000000e+00 -3.1683699999999998e-01 1.1475489999999999e+00  -7.9047780829447793e+00 -1.8560244320446295e+00 2.9128634586026090e+00 7.0013518672256747e-01 3.7028365304258224e+00 4.9379732189390796e-01
-2.1309600000000001e-01 -3.7008999999999997e-01 1.1759240000000000e+00  3.8712589150801793e+00 2.2713634873742365e+00 9.3603834617420473e-02 1.1412277032711182e+00 3.2185159424935517e+00 1.1850275001076860e+00
-3.1021700000000002e-01 -1.1655279999999999e+00 -5.2957600000000005e-01  -2.1334234586739633e+00 2.4553200474234380e-01 -3.6684349242129168e+00 1.7041000423067547e+00 -2.8228317540779120e+00 2.5403137635925654e+00
7.9654800000000003e-01 -2.8185800000000000e-01 6.5273300000000001e-01  -2.6947034145651144e-01 -7.9843509513257610e-02 -1.4075482590708210e+00 -9.5768597692314739e-01 2.2786410365229109e-01 -8.3509596052672674e-01
-1.2323340000000000e+00 7.8323000000000004e-02 -7.7906900000000001e-01  -1.4271779956580535e+00 5.4993350388740014e-01 -2.5151892890304350e-01 -6.7076660933000543e-01 -1.5029954610532403e+00 3.0753332778663180e+00
9.4795200000000002e-01 -5.9869600000000001e-01 -5.8989300000000000e-01  -5.0280556934290044e-01 4.0309511383392777e-01 -6.6858739930843281e-01 9.7860637106594606e-01 -4.8941460865525255e-01 1.2991698174801984e+00
6.5767799999999998e-01 -9.1317899999999996e-01 -2.5891399999999998e-01  -2.8833504970742578e+00 -2.0543830880002223e+00 3.6743625062639795e-01 1.1571680884252229e+00 1.9792229378447090e-01 6.2946755749669914e-01
-9.1803599999999996e-01 -1.2031700000000001e+00 6.1876699999999996e-01  -1.0662461389577085e+00 6.6245936294683072e-01 1.1756296291957347e-02 8.8143961832054185e-01 -2.6715184468789821e-01 2.6600704059119673e+00
-5.6874800000000003e-01 -3.7770999999999999e-02 1.4816750000000001e+00  8.2161342215748479e-01 -5.8633901326629301e-01 5.7392050089491409e-01 4.6287124669156671e-01 1.0499312303531592e+00 4.1556242892084805e-01
-1.0855040000000000e+00 1.1155700000000000e-01 5.5825199999999997e-01  -4.3106237602974460e+00 8.1861503057521290e+00 -6.9706244981855703e-01 -2.7510613975417089e+00 -4.0613205840279987e-01 -4.3559204085203085e+00
