7.0230000000000001e-02 5.3820000000000000e-02 3.1900899999999999e-01  -5.2491676015760627e+00 3.0649622724838455e-01 1.3349555744687448e+01 -3.3155373852492138e+00
-3.7230799999999997e-01 2.6898499999999997e-01 1.5144199999999999e-01  -8.9632342427670331e+00 1.4572944801821948e+00 1.1521075129751969e+01 -8.0016485060445341e-01
-9.7849100000000000e-01 4.4997100000000001e-01 8.0057999999999996e-01  -9.4407401605839969e-01 8.9710378354362241e-01 6.3084818955959454e-01 1.5796992493845989e+00
2.9410199999999997e-01 4.2173699999999997e-01 -1.3902500000000001e-01  -7.0196565238159652e+00 -2.6364707628984942e+00 1.8412485224563241e+01 -2.5752159844894975e+00
3.6985099999999999e-01 -1.0062439999999999e+00 1.0819700000000000e-01  -6.7439355795102038e+00 -5.0064310336922588e+00 6.4811895474281798e+00 8.6293061733193479e+00
-2.8088500000000000e-01 -9.0861800000000004e-01 -1.0397900000000000e+00  -4.2279580140632627e+00 -2.4890122936868146e+00 -5.1631634417600356e+00 1.4091273557600971e+01
6.8945800000000002e-01 -8.6665599999999998e-01 -2.2348999999999999e-01  -8.6155586323688182e-01 -2.7100073189823939e+00 8.0607380585020909e+00 4.6142419755523330e+00
-1.0095179999999999e+00 -1.0084679999999999e+00 -2.5535300000000000e-01  -4.1680383008153532e-01 -2.4154323552068080e+00 4.9087723699921062e+00 6.9644041892673716e+00
-8.1648500000000002e-01 -6.2392800000000004e-01 5.1833700000000005e-01  -1.8728427482643968e+00 -4.8671808087281292e+00 5.0770800444205326e+00 3.7088497517958627e+00
3.3472900000000000e-01 1.0409240000000000e+00 -6.9902299999999995e-01  -3.6894189823227425e-01 -1.2522997185903687e+01 2.5829753227481165e+00 -2.2727035772030941e+00
-7.0246799999999998e-01 5.0563300000000000e-01 -4.2540000000000000e-03  -9.3058799306912565e+00 2.6753264928849125e+00 6.8037985726798667e+00 9.4807708447648165e-01
-4.1891699999999998e-01 5.4797499999999999e-01 5.7671300000000003e-01  -4.3141267221242661e+00 -1.0477431718823935e+00 1.0465577401327675e+01 -1.4699614092352359e-01
2.6619399999999999e-01 1.0425489999999999e+00 -1.5045400000000000e-01  -5.8360119459856294e+00 -7.0114244270264479e+00 9.4707094687232374e+00 -5.0302951642339560e+00
9.0979699999999997e-01 -3.8750499999999999e-01 -4.0970400000000001e-01  -5.1988607863201697e+00 -1.9669565359267536e+00 8.0712619564010826e+00 2.0057765698889356e+00
-9.6794199999999997e-01 4.8883700000000002e-01 7.8405800000000003e-01  -1.3195028404147051e+00 9.4544616513154955e-01 1.1167210677006272e+00 1.0570747664934277e+00
