1024 1 M
 -0.825215 -0.554953 -0.395025 3.369742
 -0.434916 -0.242134 -0.244638 -1.056177
 -0.894617 -0.420540 -0.790998 0.357217
 0.016634 -0.890482 0.143002 -0.498854
 -0.495143 -0.077510 -0.740622 -0.997651
 -0.738534 -0.472679 -0.174365 1.561449
 0.031039 -0.547351 -0.048124 -0.158979
 -0.717889 -0.216686 -0.665708 1.182267
 -0.325510 -0.540299 -0.382664 1.534281
 -0.467354 -0.013742 -0.469389 0.309970
 -0.600435 -0.353860 -0.155092 0.872074
 -0.934049 -0.132407 -0.283520 -0.541496
 0.005631 -0.344972 -0.188298 -0.572612
 -0.042938 -0.326602 -0.526322 -0.205804
 -0.279653 -0.755391 -0.121001 0.609527
 -0.293556 -0.049996 -0.153632 -0.511010
 -0.289283 -0.376207 -0.008652 1.281457
 -0.609439 0.119900 -0.565740 -0.882833
 -0.415575 -0.701887 -0.031956 -1.021625
 0.033646 -0.999771 -1.006298 0.798675
 -0.913661 -0.147006 0.117709 1.328934
 -0.101602 -0.255646 -1.052255 0.727814
 -0.653795 -0.324921 0.002089 1.367257
 -0.657646 -0.842920 -0.804122 -0.341900
 0.194229 0.021249 -0.092686 0.495206
 0.085896 0.073910 -0.375379 -0.396536
 0.089031 -0.944566 -0.275350 -0.084677
 -0.116522 -0.648903 -0.450998 -1.396943
 -0.831619 0.087587 -0.411535 0.881585
 -0.054895 -1.053054 0.005146 -1.816460
 0.105091 0.146488 -0.583517 -1.171244
 -0.669290 -0.717051 -0.244696 -1.465829
 -1.096793 -1.057121 -1.092861 -0.776113
 -0.452661 0.161992 0.153066 -1.059344
 -0.546965 -0.608678 -0.335147 0.028496
 -0.412255 -0.230412 -0.242650 -2.031794
 0.109855 -0.647907 -0.873818 -1.837451
 -1.049956 -0.065130 -0.926442 -0.573790
 -0.349390 -0.076260 0.087092 -0.008360
 0.037059 -0.753199 -0.269602 -0.089752
 -0.814220 -0.290065 -0.499643 -0.221858
 0.118550 -0.207082 -0.590389 0.680971
 -0.752503 -0.303967 -0.712240 2.263054
 -0.425981 -0.944705 -0.814844 0.521873
 -0.957281 -0.330576 0.081247 0.990038
 -0.034864 -0.097316 -0.258512 0.134376
 -1.017784 -0.268746 -0.747140 -0.008527
 -0.235368 -0.477646 -0.566018 1.088229
 -0.950309 -0.391596 -0.839166 -0.811786
 -0.381947 -0.750934 -1.058548 0.176063
 -0.825276 -0.348163 -0.294893 -0.009943
 -0.935168 -0.418405 -1.082648 0.500900
 -0.260939 -0.080126 -0.006423 1.117615
 -0.116155 0.176881 -1.070762 1.249837
 -0.171740 -0.975759 0.032958 -1.443507
 -0.069236 -0.737319 -0.168112 0.733787
 0.162342 -0.218203 -0.828947 -0.400533
 -0.835960 0.096198 -0.449886 0.491810
 -0.270625 0.156415 0.138395 0.212001
 -0.835766 -0.701311 0.121397 -1.076226
 -0.752993 -0.932759 -0.881048 -0.095518
 -0.267441 -0.563441 -0.869515 -1.628619
 0.027134 -0.940644 -0.167716 -0.368919
 -1.086640 -0.289954 -0.470811 -0.432791
 -0.131414 -0.321800 -0.293705 0.074469
 -0.714718 -0.247955 -0.452582 0.127348
 -1.073190 -0.416133 -0.796225 -0.862834
 -0.622936 -1.079321 -0.024282 1.409316
 -0.801044 -0.834789 -0.889618 0.040810
 -1.040790 -0.318875 -1.080020 -1.139599
 -0.656589 -0.747500 -0.576524 0.786714
 -0.273940 -0.280319 -0.058383 -1.397206
 -0.769942 0.087607 -0.039926 0.240325
 -0.830806 -0.830347 -0.005878 0.042755
 0.095104 0.077388 -0.834177 -1.559979
 -0.304500 -0.791001 0.190310 1.092137
 0.075383 -0.825666 -0.960558 -1.652795
 -0.537018 -0.281574 -0.181326 0.258146
 -0.510127 -0.354048 -0.937840 -1.185365
 -0.223698 -0.291181 -1.076943 -1.067190
 -0.151817 -0.299240 -0.487520 0.449116
 -0.696544 -0.560168 -0.775932 2.464721
 -0.520947 -0.422283 -1.083802 0.967789
